
2024/12/08 (23:34:54) | ===> btop++ v.1.4.0
2024/12/08 (23:34:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (23:34:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/08 (23:34:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (11:02:13) | ===> btop++ v.1.4.0
2024/12/11 (11:02:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (11:02:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/11 (11:02:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (14:42:16) | ===> btop++ v.1.4.0
2024/12/11 (14:42:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (14:42:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/11 (14:42:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (00:09:15) | ===> btop++ v.1.4.0
2024/12/12 (00:09:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (00:09:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/12 (00:09:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (00:09:17) | ===> btop++ v.1.4.0
2024/12/12 (00:09:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (00:09:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/12 (00:09:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (17:59:49) | ===> btop++ v.1.4.0
2024/12/12 (17:59:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (17:59:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/12 (17:59:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:00:11) | ===> btop++ v.1.4.0
2024/12/12 (18:00:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (18:00:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/12 (18:00:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:35:32) | ===> btop++ v.1.4.0
2024/12/12 (18:35:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (18:35:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/12 (18:35:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:39:47) | ===> btop++ v.1.4.0
2024/12/12 (18:39:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (18:39:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/12 (18:39:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:40:43) | ===> btop++ v.1.4.0
